01 = 2003	P1	=  0.250	h[1]	=0.346730
10 = 2003	P2	=  0.250	h[2]	=0.346730
00 = 2018	P3	=  0.252	h[3]	=0.347445
11 = 1975	P4	=  0.247	h[4]	=0.345359

=====================================================
total =	7999		  H[2] = 1.3862640858	
=====================================================

010 = 1004	P1	=  0.126	h[1]	=0.260503
101 = 989	P2	=  0.124	h[2]	=0.258472
100 = 1014	P3	=  0.127	h[3]	=0.261841
001 = 1013	P4	=  0.127	h[4]	=0.261708
011 = 999	P5	=  0.125	h[5]	=0.259829
111 = 976	P6	=  0.122	h[6]	=0.256689
110 = 999	P7	=  0.125	h[7]	=0.259829
000 = 1004	P8	=  0.126	h[8]	=0.260503

=====================================================
total =	7998		  H[3] = 2.0793726444	
=====================================================

0101 = 489	P1	=  0.061	h[1]	=0.170875
1010 = 515	P2	=  0.064	h[2]	=0.176625
0100 = 515	P3	=  0.064	h[3]	=0.176625
1001 = 507	P4	=  0.063	h[4]	=0.174874
0011 = 525	P5	=  0.066	h[5]	=0.178792
0111 = 487	P6	=  0.061	h[6]	=0.170426
1110 = 487	P7	=  0.061	h[7]	=0.170426
1101 = 500	P8	=  0.063	h[8]	=0.173328
0010 = 488	P9	=  0.061	h[9]	=0.170651
1011 = 474	P10	=  0.059	h[10]	=0.167480
1111 = 489	P11	=  0.061	h[11]	=0.170875
1100 = 499	P12	=  0.062	h[12]	=0.173107
1000 = 506	P13	=  0.063	h[13]	=0.174654
0000 = 498	P14	=  0.062	h[14]	=0.172885
0001 = 506	P15	=  0.063	h[15]	=0.174654
0110 = 512	P16	=  0.064	h[16]	=0.175970

=====================================================
total =	7997		  H[4] = 2.7722454071	
=====================================================

01010 = 257	P1	=  0.032	h[1]	=0.110489
10100 = 263	P2	=  0.033	h[2]	=0.112309
01001 = 279	P3	=  0.035	h[3]	=0.117081
10011 = 256	P4	=  0.032	h[4]	=0.110184
00111 = 241	P5	=  0.030	h[5]	=0.105548
01110 = 244	P6	=  0.031	h[6]	=0.106484
11101 = 244	P7	=  0.031	h[7]	=0.106484
11010 = 258	P8	=  0.032	h[8]	=0.110793
10010 = 251	P9	=  0.031	h[9]	=0.108651
00100 = 252	P10	=  0.032	h[10]	=0.108958
00101 = 236	P11	=  0.030	h[11]	=0.103977
01011 = 232	P12	=  0.029	h[12]	=0.102710
10111 = 246	P13	=  0.031	h[13]	=0.107106
01111 = 243	P14	=  0.030	h[14]	=0.106172
11110 = 243	P15	=  0.030	h[15]	=0.106172
11100 = 243	P16	=  0.030	h[16]	=0.106172
11001 = 228	P17	=  0.029	h[17]	=0.101435
01000 = 236	P18	=  0.030	h[18]	=0.103977
